C�DIGO;C�DIGO �RG�O;ANO M�S;C�DIGO RUBRICA;DESC RUBRICA;N�MERO SEQUENCIAL;VALOR;REND/DESC/TOTAL:
1;57202;199303;253;DIFERENCA INDIVIDUAL L.7923/89;1;1483185,36;1
1;57202;199303;72399;RESTAURANTE - TICKET/INSS;1;81414,64;2
1;57202;199303;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;28734123,6;1
1;57202;199303;188;REPR.MENSAL DEC LEI 2333/87 AT;1;8141464;1
1;57202;199303;71162;PECULIO - FACULT PART;1;1062461,18;2
1;57202;199303;13;ANUENIO - ART.244, LEI 8112/90;1;162829,28;1
1;57202;199303;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;81414,64;2
1;57202;199303;591;GRAT.ATIV.EXECUT/GAE LD.13/92;1;1922137,2;1
1;57202;199303;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;4080348;1
1;57202;199303;71157;PARTICIPACAO - GEAP;1;6586,2;2
1;57202;199303;1;VENCIMENTO BASICO;6;643024,2;1
1;57202;199303;13;ANUENIO - ART.244, LEI 8112/90;6;12860,48;1
1;57202;199303;71;GRAT.PRODUTIVIDADE SUB-SUDICE;6;643024,2;1
1;57202;199303;99001;IMPOSTO DE RENDA RETIDO FONTE;8;910337;1
1;57202;199303;25;OPCAO DAS - PESSOAL PERMANENTE;0;1320112,75;1
1;57202;199303;620;OPCAO - GADF/ATIVO-LD.13/92;0;5712431,67;1
1;57202;199303;15;REPRESENTACAO MENSAL;0;1680143,5;1
1;57202;199303;1;VENCIMENTO BASICO;0;8141464;1
1;57202;199303;13;ANUENIO - ART.244, LEI 8112/90;0;162829,28;1
1;57202;199303;98002;CONT. PLANO SEGURIDADE SOCIAL;0;3312324,51;2
1;57202;199303;99001;IMPOSTO DE RENDA RETIDO FONTE;0;10564630;2
1;57202;199303;72507;ASSISTENCIA GEAP;3;393484,93;2
1;57202;199303;253;DIFERENCA INDIVIDUAL L.7923/89;1;489451,16;1
1;57202;199303;72399;RESTAURANTE - TICKET/INSS;1;26866,83;2
1;57202;199303;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;9482260,32;1
1;57202;199303;188;REPR.MENSAL DEC LEI 2333/87 AT;1;2686683,12;1
1;57202;199303;13;ANUENIO - ART.244, LEI 8112/90;1;53733,66;1
1;57202;199303;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;26866,83;2
1;57202;199303;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;1346514,84;1
1;57202;199303;25;OPCAO DAS - PESSOAL PERMANENTE;0;435637,2;1
1;57202;199303;620;OPCAO - GADF/ATIVO-LD.13/92;0;1885102,45;1
1;57202;199303;15;REPRESENTACAO MENSAL;0;554447,35;1
1;57202;199303;1;VENCIMENTO BASICO;0;2686683,12;1
1;57202;199303;13;ANUENIO - ART.244, LEI 8112/90;0;53733,66;1
1;57202;199303;98002;CONT. PLANO SEGURIDADE SOCIAL;0;1067348,67;2
1;57202;199303;99001;IMPOSTO DE RENDA RETIDO FONTE;0;4651725;2
1;57202;199303;99997;TOTAL BRUTO;0;83424561,40;3
1;57202;199303;99998;TOTAL DESCONTO;0;22711066,98;3
1;57202;199303;99999;TOTAL LIQUIDO;0;60713494,42;3
1;57202;199304;71182;ASSOC.PROCURADORES;1;14000;2
1;57202;199304;72507;ASSISTENCIA GEAP;3;2213663,67;2
1;57202;199304;253;DIFERENCA INDIVIDUAL L.7923/89;1;1972636,52;1
1;57202;199304;72399;RESTAURANTE - TICKET/INSS;1;108281,47;2
1;57202;199304;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;53568369,6;1
1;57202;199304;188;REPR.MENSAL DEC LEI 2333/87 AT;1;10828147,12;1
1;57202;199304;71162;PECULIO - FACULT PART;1;1413073,58;2
1;57202;199304;13;ANUENIO - ART.244, LEI 8112/90;1;216562,94;1
1;57202;199304;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;108281,47;2
1;57202;199304;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;5426862,84;1
1;57202;199304;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;6;16038019,68;1
1;57202;199304;99001;IMPOSTO DE RENDA RETIDO FONTE;8;1120767;1
1;57202;199304;25;OPCAO DAS - PESSOAL PERMANENTE;0;1755749,95;1
1;57202;199304;620;OPCAO - GADF/ATIVO-LD.13/92;0;7597534,12;1
1;57202;199304;15;REPRESENTACAO MENSAL;0;2234590,85;1
1;57202;199304;1;VENCIMENTO BASICO;0;10828147,12;1
1;57202;199304;13;ANUENIO - ART.244, LEI 8112/90;0;216562,94;1
1;57202;199304;98002;CONT. PLANO SEGURIDADE SOCIAL;0;6185138,97;2
1;57202;199304;99001;IMPOSTO DE RENDA RETIDO FONTE;0;20686461;2
1;57202;199304;99997;TOTAL BRUTO;0;111803950,68;3
1;57202;199304;99998;TOTAL DESCONTO;0;30728900,16;3
1;57202;199304;99999;TOTAL LIQUIDO;0;81075050,52;3
1;57202;199305;71182;ASSOC.PROCURADORES;1;14000;2
1;57202;199305;72507;ASSISTENCIA GEAP;3;6321587,46;2
1;57202;199305;253;DIFERENCA INDIVIDUAL L.7923/89;1;3649377,56;1
1;57202;199305;72399;RESTAURANTE - TICKET/INSS;1;200320,72;2
1;57202;199305;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;123876854,4;1
1;57202;199305;188;REPR.MENSAL DEC LEI 2333/87 AT;1;20032072,17;1
1;57202;199305;71162;PECULIO - FACULT PART;1;1413073,58;2
1;57202;199305;13;ANUENIO - ART.244, LEI 8112/90;1;400641,44;1
1;57202;199305;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;200320,72;2
1;57202;199305;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;10039696,25;1
1;57202;199305;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;6;42612274,16;1
1;57202;199305;176;GRATIFICACAO NATALINA;6;6975200,16;1
1;57202;199305;73;FERIAS - ANTECIPACAO;6;199868924,05;1
1;57202;199305;220;FERIAS - ADICIONAL 1/3;6;66622974,68;1
1;57202;199305;177;ADIANT.GRATIF.NATALINA/ATIVO;1;99934462,02;1
1;57202;199305;77;ABONO PECUNIARIO DE FERIAS CLT;6;88830632,91;1
1;57202;199305;71162;PECULIO - FACULT PART;2;116870,8;2
1;57202;199305;71157;PARTICIPACAO - GEAP;1;163341,9;2
1;57202;199305;99001;IMPOSTO DE RENDA RETIDO FONTE;8;1486764;1
1;57202;199305;25;OPCAO DAS - PESSOAL PERMANENTE;0;3248137,42;1
1;57202;199305;620;OPCAO - GADF/ATIVO-LD.13/92;0;14055438,12;1
1;57202;199305;15;REPRESENTACAO MENSAL;0;4133993,08;1
1;57202;199305;1;VENCIMENTO BASICO;0;20032072,17;1
1;57202;199305;13;ANUENIO - ART.244, LEI 8112/90;0;400641,44;1
1;57202;199305;98002;CONT. PLANO SEGURIDADE SOCIAL;0;13705545,6;2
1;57202;199305;99001;IMPOSTO DE RENDA RETIDO FONTE;0;50269099;2
1;57202;199305;99004;IRRF - FERIAS;0;28512201;2
1;57202;199305;99997;TOTAL BRUTO;0;706200156,03;3
1;57202;199305;99998;TOTAL DESCONTO;0;100916360,78;3
1;57202;199305;99999;TOTAL LIQUIDO;0;605283795,25;3
1;57202;199306;71182;ASSOC.PROCURADORES;1;14000;2
1;57202;199306;72507;ASSISTENCIA GEAP;3;4625667,41;2
1;57202;199306;253;DIFERENCA INDIVIDUAL L.7923/89;1;3363728,81;1
1;57202;199306;72399;RESTAURANTE - TICKET/INSS;1;200320,72;2
1;57202;199306;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;123876854,4;1
1;57202;199306;188;REPR.MENSAL DEC LEI 2333/87 AT;1;20032072,17;1
1;57202;199306;71162;PECULIO - FACULT PART;1;5949526,28;2
1;57202;199306;13;ANUENIO - ART.244, LEI 8112/90;1;400641,44;1
1;57202;199306;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;200320,72;2
1;57202;199306;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;10039696,25;1
1;57202;199306;73;FERIAS - ANTECIPACAO;7;16655743,67;2
1;57202;199306;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;6;31700095,2;1
1;57202;199306;71162;PECULIO - FACULT PART;2;717426,91;2
1;57202;199306;99001;IMPOSTO DE RENDA RETIDO FONTE;8;1995041;1
1;57202;199306;99004;IRRF - FERIAS;8;1995041;1
1;57202;199306;25;OPCAO DAS - PESSOAL PERMANENTE;0;3248137,42;1
1;57202;199306;620;OPCAO - GADF/ATIVO-LD.13/92;0;14055438,12;1
1;57202;199306;15;REPRESENTACAO MENSAL;0;4133993,08;1
1;57202;199306;1;VENCIMENTO BASICO;0;20032072,17;1
1;57202;199306;13;ANUENIO - ART.244, LEI 8112/90;0;400641,44;1
1;57202;199306;98002;CONT. PLANO SEGURIDADE SOCIAL;0;13033675,94;2
1;57202;199306;99001;IMPOSTO DE RENDA RETIDO FONTE;0;45642569;2
1;57202;199306;99997;TOTAL BRUTO;0;235273452,50;3
1;57202;199306;99998;TOTAL DESCONTO;0;87039250,65;3
1;57202;199306;99999;TOTAL LIQUIDO;0;148234201,85;3
1;57202;199307;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199307;72507;ASSISTENCIA GEAP;3;5335,66;2
1;57202;199307;253;DIFERENCA INDIVIDUAL L.7923/89;1;4496,29;1
1;57202;199307;72399;RESTAURANTE - TICKET/INSS;1;267,76;2
1;57202;199307;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;165586,37;1
1;57202;199307;188;REPR.MENSAL DEC LEI 2333/87 AT;1;26776,87;1
1;57202;199307;13;ANUENIO - ART.244, LEI 8112/90;1;535,53;1
1;57202;199307;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;267,76;2
1;57202;199307;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;13420,06;1
1;57202;199307;73;FERIAS - ANTECIPACAO;7;16655,74;2
1;57202;199307;71162;PECULIO - FACULT PART;2;717,42;2
1;57202;199307;71162;PECULIO - FACULT PART;1;7952,73;2
1;57202;199307;99001;IMPOSTO DE RENDA RETIDO FONTE;8;2706,28;1
1;57202;199307;25;OPCAO DAS - PESSOAL PERMANENTE;0;4341,78;1
1;57202;199307;620;OPCAO - GADF/ATIVO-LD.13/92;0;18787,9;1
1;57202;199307;15;REPRESENTACAO MENSAL;0;5525,9;1
1;57202;199307;1;VENCIMENTO BASICO;0;26776,87;1
1;57202;199307;13;ANUENIO - ART.244, LEI 8112/90;0;535,53;1
1;57202;199307;98002;CONT. PLANO SEGURIDADE SOCIAL;0;14879,71;2
1;57202;199307;99001;IMPOSTO DE RENDA RETIDO FONTE;0;51349,72;2
1;57202;199307;99997;TOTAL BRUTO;0;269489,38;3
1;57202;199307;99998;TOTAL DESCONTO;0;97726,50;3
1;57202;199307;99999;TOTAL LIQUIDO;0;171762,88;3
1;57202;199308;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199308;72507;ASSISTENCIA GEAP;3;5345,2;2
1;57202;199308;253;DIFERENCA INDIVIDUAL L.7923/89;1;4496,29;1
1;57202;199308;72399;RESTAURANTE - TICKET/INSS;1;267,76;2
1;57202;199308;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;165585,6;1
1;57202;199308;188;REPR.MENSAL DEC LEI 2333/87 AT;1;26776,87;1
1;57202;199308;13;ANUENIO - ART.244, LEI 8112/90;1;535,53;1
1;57202;199308;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;267,76;2
1;57202;199308;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;13420,06;1
1;57202;199308;73;FERIAS - ANTECIPACAO;7;16655,74;2
1;57202;199308;71162;PECULIO - FACULT PART;1;7952,73;2
1;57202;199308;24;SUBSTITUICAO/INTERINO;6;484,64;1
1;57202;199308;71157;PARTICIPACAO - GEAP;1;1200,07;2
1;57202;199308;99001;IMPOSTO DE RENDA RETIDO FONTE;8;3564;1
1;57202;199308;25;OPCAO DAS - PESSOAL PERMANENTE;0;4341,78;1
1;57202;199308;620;OPCAO - GADF/ATIVO-LD.13/92;0;18787,9;1
1;57202;199308;15;REPRESENTACAO MENSAL;0;5525,9;1
1;57202;199308;1;VENCIMENTO BASICO;0;26776,87;1
1;57202;199308;13;ANUENIO - ART.244, LEI 8112/90;0;535,53;1
1;57202;199308;98002;CONT. PLANO SEGURIDADE SOCIAL;0;14908,74;2
1;57202;199308;99001;IMPOSTO DE RENDA RETIDO FONTE;0;47899;2
1;57202;199308;99997;TOTAL BRUTO;0;270830,97;3
1;57202;199308;99998;TOTAL DESCONTO;0;94797,13;3
1;57202;199308;99999;TOTAL LIQUIDO;0;176033,84;3
1;57202;199309;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199309;72507;ASSISTENCIA GEAP;3;13249,26;2
1;57202;199309;253;DIFERENCA INDIVIDUAL L.7923/89;1;8368,94;1
1;57202;199309;72399;RESTAURANTE - TICKET/INSS;1;498,39;2
1;57202;199309;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;308490;1
1;57202;199309;188;REPR.MENSAL DEC LEI 2333/87 AT;1;49839,78;1
1;57202;199309;13;ANUENIO - ART.244, LEI 8112/90;1;996,79;1
1;57202;199309;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;3084,9;2
1;57202;199309;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;24978,75;1
1;57202;199309;73;FERIAS - ANTECIPACAO;7;16655,74;2
1;57202;199309;71162;PECULIO - FACULT PART;1;14802,41;2
1;57202;199309;71157;PARTICIPACAO - GEAP;1;1051,04;2
1;57202;199309;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;6;1655;2
1;57202;199309;220;FERIAS - ADICIONAL 1/3;6;165615,81;1
1;57202;199309;99001;IMPOSTO DE RENDA RETIDO FONTE;8;4860;1
1;57202;199309;25;OPCAO DAS - PESSOAL PERMANENTE;0;8081,35;1
1;57202;199309;620;OPCAO - GADF/ATIVO-LD.13/92;0;34969,91;1
1;57202;199309;15;REPRESENTACAO MENSAL;0;10285,36;1
1;57202;199309;1;VENCIMENTO BASICO;0;49839,78;1
1;57202;199309;13;ANUENIO - ART.244, LEI 8112/90;0;996,79;1
1;57202;199309;98002;CONT. PLANO SEGURIDADE SOCIAL;0;27712,65;2
1;57202;199309;99001;IMPOSTO DE RENDA RETIDO FONTE;0;9722;2
1;57202;199309;99004;IRRF - FERIAS;0;14425;2
1;57202;199309;99997;TOTAL BRUTO;0;667323,26;3
1;57202;199309;99998;TOTAL DESCONTO;0;190667,39;3
1;57202;199309;99999;TOTAL LIQUIDO;0;476655,87;3
1;57202;199310;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199310;72507;ASSISTENCIA GEAP;3;9936,94;2
1;57202;199310;253;DIFERENCA INDIVIDUAL L.7923/89;1;8368,94;1
1;57202;199310;72399;RESTAURANTE - TICKET/INSS;1;498,39;2
1;57202;199310;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;308490;1
1;57202;199310;188;REPR.MENSAL DEC LEI 2333/87 AT;1;49839,78;1
1;57202;199310;13;ANUENIO - ART.244, LEI 8112/90;1;996,79;1
1;57202;199310;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;3084,9;2
1;57202;199310;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;24978,75;1
1;57202;199310;73;FERIAS - ANTECIPACAO;7;16655,74;2
1;57202;199310;71157;PARTICIPACAO - GEAP;1;496,53;2
1;57202;199310;71162;PECULIO - FACULT PART;1;14802,41;2
1;57202;199310;130;RENDIMENTO PASEP;5;2278,96;1
1;57202;199310;99001;IMPOSTO DE RENDA RETIDO FONTE;8;6894;1
1;57202;199310;99004;IRRF - FERIAS;8;5580;1
1;57202;199310;25;OPCAO DAS - PESSOAL PERMANENTE;0;8081,35;1
1;57202;199310;620;OPCAO - GADF/ATIVO-LD.13/92;0;34969,91;1
1;57202;199310;15;REPRESENTACAO MENSAL;0;10285,36;1
1;57202;199310;1;VENCIMENTO BASICO;0;49839,78;1
1;57202;199310;13;ANUENIO - ART.244, LEI 8112/90;0;996,79;1
1;57202;199310;98002;CONT. PLANO SEGURIDADE SOCIAL;0;36950,2;2
1;57202;199310;99001;IMPOSTO DE RENDA RETIDO FONTE;0;88029;2
1;57202;199310;99997;TOTAL BRUTO;0;511600,41;3
1;57202;199310;99998;TOTAL DESCONTO;0;170754,11;3
1;57202;199310;99999;TOTAL LIQUIDO;0;340846,30;3
1;57202;199311;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199311;72507;ASSISTENCIA GEAP;3;14031,78;2
1;57202;199311;253;DIFERENCA INDIVIDUAL L.7923/89;1;11815,26;1
1;57202;199311;72399;RESTAURANTE - TICKET/INSS;1;703,63;2
1;57202;199311;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;435666;1
1;57202;199311;188;REPR.MENSAL DEC LEI 2333/87 AT;1;70363,8;1
1;57202;199311;13;ANUENIO - ART.244, LEI 8112/90;1;1407,27;1
1;57202;199311;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;4356,66;2
1;57202;199311;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;35264,99;1
1;57202;199311;73;FERIAS - ANTECIPACAO;7;16655,74;2
1;57202;199311;71162;PECULIO - FACULT PART;1;20898,04;2
1;57202;199311;71157;PARTICIPACAO - GEAP;1;1466,83;2
1;57202;199311;99001;IMPOSTO DE RENDA RETIDO FONTE;8;9475;1
1;57202;199311;25;OPCAO DAS - PESSOAL PERMANENTE;0;11409,26;1
1;57202;199311;620;OPCAO - GADF/ATIVO-LD.13/92;0;49370,51;1
1;57202;199311;15;REPRESENTACAO MENSAL;0;14520,87;1
1;57202;199311;1;VENCIMENTO BASICO;0;70363,8;1
1;57202;199311;13;ANUENIO - ART.244, LEI 8112/90;0;1407,27;1
1;57202;199311;98002;CONT. PLANO SEGURIDADE SOCIAL;0;78266,22;2
1;57202;199311;99001;IMPOSTO DE RENDA RETIDO FONTE;0;119411;2
1;57202;199311;177;ADIANT.GRATIF.NATALINA/ATIVO;0;99934,46;2
1;57202;199311;99003;IRRF - 13  SAL./GRAT.NATALINA;0;138977;2
1;57202;199311;176;GRATIFICACAO NATALINA;0;701589,03;1
1;57202;199311;99997;TOTAL BRUTO;0;1412653,06;3
1;57202;199311;99998;TOTAL DESCONTO;0;495001,36;3
1;57202;199311;99999;TOTAL LIQUIDO;0;917651,70;3
1;57202;199312;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199312;72507;ASSISTENCIA GEAP;3;13761,32;2
1;57202;199312;253;DIFERENCA INDIVIDUAL L.7923/89;1;11815,26;1
1;57202;199312;72399;RESTAURANTE - TICKET/INSS;1;745,7;2
1;57202;199312;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;435666;1
1;57202;199312;188;REPR.MENSAL DEC LEI 2333/87 AT;1;74570,99;1
1;57202;199312;13;ANUENIO - ART.244, LEI 8112/90;1;1491,41;1
1;57202;199312;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;4356,66;2
1;57202;199312;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;35264,99;1
1;57202;199312;73;FERIAS - ANTECIPACAO;7;16655,74;2
1;57202;199312;71162;PECULIO - FACULT PART;1;22147,58;2
1;57202;199312;71157;PARTICIPACAO - GEAP;1;2490,3;2
1;57202;199312;99001;IMPOSTO DE RENDA RETIDO FONTE;8;12347;1
1;57202;199312;25;OPCAO DAS - PESSOAL PERMANENTE;0;11409,26;1
1;57202;199312;620;OPCAO - GADF/ATIVO-LD.13/92;0;49370,51;1
1;57202;199312;15;REPRESENTACAO MENSAL;0;14520,87;1
1;57202;199312;1;VENCIMENTO BASICO;0;74570,99;1
1;57202;199312;13;ANUENIO - ART.244, LEI 8112/90;0;2237,12;1
1;57202;199312;665;ABATE TETO LEI 8852/94 ATIVOS;0;8146,32;2
1;57202;199312;507;ABATE TETO (CF ART 37) ATIVO;0;22851,1;2
1;57202;199312;98002;CONT. PLANO SEGURIDADE SOCIAL;0;81589,96;2
1;57202;199312;99001;IMPOSTO DE RENDA RETIDO FONTE;0;100816;2
1;57202;199312;99003;IRRF - 13  SAL./GRAT.NATALINA;8;17764;1
1;57202;199312;176;GRATIFICACAO NATALINA;0;9328,37;1
1;57202;199312;556;ABATE TETO 13/GRAT NAT - ATIVO;0;30998,89;2
1;57202;199312;99997;TOTAL BRUTO;0;750356,77;3
1;57202;199312;99998;TOTAL DESCONTO;0;304859,57;3
1;57202;199312;99999;TOTAL LIQUIDO;0;445497,20;3
1;57202;199401;71182;ASSOC.PROCURADORES;1;300;2
1;57202;199401;72507;ASSISTENCIA GEAP;3;40313,01;2
1;57202;199401;253;DIFERENCA INDIVIDUAL L.7923/89;1;34612,8;1
1;57202;199401;72399;RESTAURANTE - TICKET/INSS;1;2184,55;2
1;57202;199401;192;GRAT.EST.FISC.ARREC.TRIB.FED/A;1;1276248;1
1;57202;199401;188;REPR.MENSAL DEC LEI 2333/87 AT;1;218455,71;1
1;57202;199401;13;ANUENIO - ART.244, LEI 8112/90;1;4369,11;1
1;57202;199401;73153;ASSOC.NAC.PROCURAD.PREV.SOCIAL;1;12762,48;2
1;57202;199401;71;GRAT.PRODUTIVIDADE SUB-SUDICE;1;103308,78;1
1;57202;199401;71157;PARTICIPACAO - GEAP;1;3285,68;2
1;57202;199401;71162;PECULIO - FACULT PART;1;64881,34;2
1;57202;199401;99001;IMPOSTO DE RENDA RETIDO FONTE;8;1432;1
1;57202;199401;25;OPCAO DAS - PESSOAL PERMANENTE;0;33423,42;1
1;57202;199401;620;OPCAO - GADF/ATIVO-LD.13/92;0;144630,93;1
1;57202;199401;15;REPRESENTACAO MENSAL;0;42538,9;1
1;57202;199401;1;VENCIMENTO BASICO;0;218455,71;1
1;57202;199401;13;ANUENIO - ART.244, LEI 8112/90;0;6553,67;1
1;57202;199401;665;ABATE TETO LEI 8852/94 ATIVOS;0;23829,2;2
1;57202;199401;507;ABATE TETO (CF ART 37) ATIVO;0;66946,4;2
1;57202;199401;98002;CONT. PLANO SEGURIDADE SOCIAL;0;239018,52;2
